home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A
8635,9991,2,2,,3.4,5.0
9985,10001,3,0,,4.2,10.0
9998,9987,3,1,,3.3,1.95
9986,9999,1,0,,3.6,6.5
9994,4049,4,1,,3.6,4.75
9996,8203,3,1,,3.3,3.4
8571,9984,2,1,,3.25,2.2
9993,7947,1,1,,3.75,5.5
8571,8635,1,3,,3.6,1.66
9994,9987,1,2,,3.25,2.7
9998,9984,1,1,,3.2,2.2
9986,9991,2,5,,3.25,2.5
9996,7947,0,2,,3.5,5.5
10000,8203,1,1,,3.4,4.0
9985,9999,3,0,,5.5,11.0
8342,4049,3,1,,5.0,8.5
9993,10001,2,1,,3.3,3.6
7947,8342,0,2,,3.4,1.72
8571,9985,0,2,,3.75,1.66
8635,9998,3,2,,5.5,13.0
9987,10000,1,2,,3.4,4.75
9984,9986,2,2,,3.5,5.5
10001,9994,1,0,,3.2,3.5
4049,8203,1,5,,3.2,2.62
9991,9996,2,0,,3.5,5.5
9999,9993,2,2,,3.2,2.15
9986,8635,0,1,,3.5,1.72
8342,9987,0,2,,3.25,3.8
9993,9984,1,1,,3.3,3.1
8203,9991,3,3,,3.3,2.37
