home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A
9999,10001,1,0,3.25,3.3,2.1
8571,9987,3,1,3.25,3.25,2.1
9993,9996,3,0,2.2,3.25,3.0
8342,9985,1,4,2.62,3.2,2.62
9987,9986,1,0,1.53,4.0,6.0
10000,9996,2,1,2.05,3.3,3.6
9991,8571,1,1,1.5,4.0,6.5
7947,9994,1,1,3.25,3.25,2.2
8203,9993,2,1,2.5,3.3,2.75
9999,8635,0,3,8.0,4.75,1.36
4049,9998,2,1,2.8,3.25,2.5
10001,9984,1,2,2.05,3.3,3.6
8635,9987,2,0,1.57,3.8,6.0
9985,9991,2,1,1.5,4.2,6.5
9998,10000,2,2,2.25,3.25,3.25
9986,7947,2,0,1.61,3.75,5.5
9984,9999,4,3,1.4,4.33,8.5
9994,8203,2,2,1.83,3.4,4.5
9996,8342,5,1,3.0,3.25,2.4
8571,10001,0,0,2.3,3.25,3.2
9993,4049,2,0,1.57,3.8,6.0
9993,9987,4,1,2.6,3.3,2.62
9994,10000,2,1,2.1,3.2,3.3
8635,9984,1,2,1.36,4.5,9.0
9998,9991,1,2,2.8,3.3,2.3
9985,7947,3,2,1.2,6.5,13.0
8342,8203,3,0,1.45,4.0,6.0
8571,9999,2,1,1.67,3.5,4.75
9996,4049,1,1,1.45,3.8,6.5
9986,10001,1,2,2.1,3.3,3.5
