B365A,B365D,B365H,away_team_goal,home_team_goal,away_team_api_id,home_team_api_id
3.0,3.25,2.38,1,0,9984,8203
2.62,3.3,2.62,2,2,9991,9987
2.62,3.3,2.38,1,3,9999,7947
5.0,3.4,1.73,1,5,8571,10000
3.0,3.25,2.38,0,1,9993,9994
2.75,3.2,2.6,0,2,8342,9993
3.2,3.3,2.1,0,1,10000,9986
2.1,3.3,3.2,3,1,9991,9999
15.0,6.0,1.14,0,4,7947,8635
13.0,6.0,1.18,1,4,8203,9985
4.2,3.3,1.8,0,3,9996,9994
6.0,3.8,1.5,2,2,4049,8571
2.05,3.2,3.4,2,0,10001,9998
1.2,6.0,11.0,1,1,8635,4049
1.57,3.6,5.5,0,0,9985,10000
6.5,4.0,1.44,0,0,9998,7947
2.87,3.25,2.3,1,2,9986,8203
7.5,4.33,1.36,1,2,9984,9991
7.0,4.2,1.44,3,2,9994,8342
5.5,3.6,1.57,0,1,9999,10001
